Subject,Condition,Mean_Cadence,SD_Cadence,Mean_FSA,SD_FSA,Mean_LR,SD_LR,Note
LR_01,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_01,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_01,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_02,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_02,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_02,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_03,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_03,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_03,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_04,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_04,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_04,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_04,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_21,FSA,174.6420139,4.470389378,-4.444239031,2.729198521,34.43234293,11.5624019,
LR_21,LOAD1,160.2174807,5.773277627,14.32747271,5.298259089,61.50429241,9.906444898,
LR_21,LOAD2,189.6109358,5.416459323,-4.631225954,2.103108078,32.02442071,7.816571927,
LR_22,BSL,175.5772732,4.006377003,4.864272374,4.998775955,84.15422924,13.99474599,
LR_22,CAD,196.86584,5.041326307,-0.831146631,1.718022931,45.43809916,4.260198382,
LR_22,FSA,178.8617717,4.538118946,-5.387079257,2.162579415,41.83860745,6.295589518,
LR_22,LOAD1,179.6075123,4.762273611,-4.14781178,1.852246176,42.01197116,4.376723372,
LR_22,LOAD2,194.967547,5.704844458,-1.295035643,2.399676432,39.74672366,3.874257242,
LR_23,BSL,164.7498422,3.61454588,-0.226598254,9.573144515,87.71254555,16.97079765,
LR_23,CAD,184.541776,4.80834259,-7.138130526,22.18232006,82.59385514,18.9599055,
LR_23,FSA,180.9670357,4.995648126,-3.136551049,7.98092524,47.33427437,10.73866158,
LR_23,LOAD1,169.6044032,4.301655269,-0.514292243,9.160471362,52.94827243,12.2115259,
LR_23,LOAD2,194.3558745,5.528575968,-4.54095124,12.80234238,48.22299708,10.48558357,
LR_24,BSL,174.047246,4.932031751,9.585468651,4.510309234,96.26819151,17.09373029,
LR_24,CAD,194.1043007,13.33093634,7.401787226,3.361151063,82.47037044,12.3892452,
LR_24,FSA,199.0699129,6.47256519,-7.119925383,1.938440051,35.00720477,6.256912115,
LR_24,LOAD1,234.7875791,21.40519227,-8.237752954,2.497639441,31.71377974,6.64160608,
LR_24,LOAD2,208.4818917,10.52088035,-2.515558266,3.070040639,41.62383712,8.830794925,
LR_25,BSL,,,,,,,Could not proces due to technical issue durring measurement
LR_25,CAD,,,,,,,Could not proces due to technical issue durring measurement
LR_25,FSA,,,,,,,Could not proces due to technical issue durring measurement
LR_25,LOAD1,,,,,,,Could not proces due to technical issue durring measurement
LR_25,LOAD2,,,,,,,Could not proces due to technical issue durring measurement
LR_26,BSL,175.7496597,19.2515281,4.722171283,3.821479011,101.2388391,20.65345246,
LR_26,CAD,198.1422196,5.121154366,3.729872934,2.707454812,86.60350023,16.80623941,
LR_26,FSA,172.4273725,5.716004895,-3.908292397,3.01893239,40.12183112,12.36944394,
LR_26,LOAD1,166.3339643,14.81259965,8.883176309,5.568647976,89.35213939,16.03373539,
LR_26,LOAD2,182.5352773,6.741744966,-2.454623011,3.148773076,27.93762924,10.46500577,
LR_27,BSL,149.0778567,2.983463555,11.73112757,3.267518603,74.54685496,9.956003447,
LR_27,CAD,167.0315087,4.659812352,-3.647700166,1.710691307,50.84627237,11.18828124,
LR_27,FSA,164.1171873,4.560907067,-4.241643674,1.451390002,47.48090672,8.294826759,
LR_27,LOAD1,157.0587023,4.870552922,-5.854850829,2.098692343,44.35451933,10.50486866,
LR_27,LOAD2,168.5732334,4.22350553,-4.43643522,1.751052703,41.86473462,9.232122981,
LR_28,BSL,152.0995768,3.053205547,-2.905474057,3.668430473,55.97167816,6.179026652,
LR_28,CAD,168.9186993,5.315717529,-7.004231,2.352726412,46.28860421,9.104549777,
LR_28,FSA,153.7593457,3.149167725,-5.587888629,1.927999488,46.3334994,5.597508189,
LR_28,LOAD1,159.2886367,6.877509211,-8.319025446,5.476836523,46.86552391,9.274228814,
LR_28,LOAD2,158.9002712,3.587488249,-9.484099117,4.658592408,39.66504446,6.548545326,
LR_29,BSL,177.5340558,4.218507819,1.672929803,2.508706616,49.03089388,8.855959315,
LR_29,CAD,197.2453482,5.503545326,-7.286211483,2.129039723,31.26208627,5.629106571,
LR_29,FSA,177.7588014,3.845368038,-3.48156834,2.434902021,27.68620294,5.71283456,
LR_29,LOAD1,174.8229861,4.296861631,-2.34648514,2.291327467,28.15547584,5.615449815,
LR_29,LOAD2,190.7067471,5.90176622,-4.611891111,2.308662805,28.52427249,4.528090362,
LR_30,BSL,147.0141429,3.035128635,15.16113888,2.965679345,69.91730467,6.977213721,
LR_30,CAD,164.1678734,5.048812452,15.67577826,3.317097117,57.87231867,5.272572195,
LR_30,FSA,152.3602386,3.521936618,-5.227434434,2.278937289,41.8996647,5.82643798,
LR_30,LOAD1,188.2228125,12.06292686,-4.066267517,2.437918929,24.64141957,4.317025264,
LR_30,LOAD2,186.3445748,8.833839733,-2.774135017,2.506319508,24.14181897,3.870227584,
